target,Group,tetracorder_file
Goethite,group.1um,fe3+_goethite.medcoarsegr.mpc.trjar
Goethite,group.1um,fe3+_goethite.medgr.ws222
Halloysite,group.2um,kaolgrp_halloysite
Hematite,group.1um,fe3+_hematite.lg.gr.br25a
Hematite,group.1um,fe3+_hematite.lg.gr.br25c
Hematite,group.1um,fe3+_hematite.lg.gr.br34c
Hematite,group.1um,fe3+_hematite.med.gr.br25b
Hematite,group.1um,fe3+_hematite.thincoat
Hematite,group.1um,fe2+fe3+_hematite_weathering
Hematite,group.1um,fe2+fe3+mix_with_hematite_br5b
Hematite,group.1um,fe3+_hematite.fine.gr.gds76
Hematite,group.1um,fe3+_hematite.fine.gr.fe2602
Hematite,group.1um,fe3+_hematite.fine.gr.ws161
Hematite,group.1um,fe3+_hematite.med.gr.gds27
Hematite,group.1um,fe3+_hematite.nano.BR34b2
Hematite,group.1um,fe3+_hematite.nano.BR34b2b
Hematite,group.1um,fe3+_maghemite
Illite,group.2um,sulfate-mix_gypsum+jar+illite.intmix
Illite,group.2um,micagrp_illite
Illite,group.2um,micagrp_illite.gds4
Illite,group.2um,micagrp_illite.roscoelite
Illite,group.2um,smectite_ammonillsmec
Jarosite,group.2um,dick+musc+gyp+jar.amix
Jarosite,group.2um,sulfate-mix_gyp+jar+musc.amix
Jarosite,group.2um,musc+gyp+jar+dick.amix
Jarosite,group.2um,sulfate-mix_gyp+jar+musc+dick.amix
Jarosite,group.2um,sulfate_ammonalunite
Jarosite,group.2um,musc+jarosite.intimat
Jarosite,group.2um,sulfate-mix_gypsum+jar+illite.intmix
Jarosite,group.2um,sulfate_ammonjarosite
Jarosite,group.2um,sulfate_jarosite-K
Jarosite,group.2um,sulfate_jarosite-lowT
Jarosite,group.2um,sulfate_jarosite-Na
Kaolinite,group.2um,carbonate_calcite0.7+kaol0.3
Kaolinite,group.2um,kaol.75+pyroph.25
Kaolinite,group.2um,alunite.33+kaol.33+musc.33
Kaolinite,group.2um,alunite.5+kaol.5
Kaolinite,group.2um,kaolin.5+muscov.medAl
Kaolinite,group.2um,kaolin.5+muscov.medhighAl
Kaolinite,group.2um,Kalun+kaol.intmx
Kaolinite,group.2um,Na-alun+kaol.intmx
Kaolinite,group.2um,carbonate_calcite+0.2kaolwxl
Kaolinite,group.2um,kaol.75+alun.25
Kaolinite,group.2um,kaolin.3+smect.7
Kaolinite,group.2um,kaolin.5+smect.5
Kaolinite,group.2um,kaolin+musc.intimat
Kaolinite,group.2um,kaolgrp_kaolinite_pxl
Kaolinite,group.2um,kaolgrp_kaolinite_wxl
Montmorillonite,group.2um,carbonate_calcite+0.2Ca-mont
Montmorillonite,group.2um,calcite.25+dolom.25+Na-mont.5
Montmorillonite,group.2um,carbonate_calcite.25+dolom.25+Ca-mont.5
Montmorillonite,group.2um,carbonate_smectite_calcite.33+Ca-mont.67
Montmorillonite,group.2um,organic_drygrass+.17Na-mont
Montmorillonite,group.2um,calcite+0.5Ca-mont
Montmorillonite,group.2um,carbonate_dolo+.5ca-mont
Montmorillonite,group.2um,carbonate_dolomite.5+Na-mont.5
Montmorillonite,group.2um,pyroph.5+mont0.5
Montmorillonite,group.2um,calcite+0.2Na-mont
Montmorillonite,group.2um,smectite_beidellite_gds123
Montmorillonite,group.2um,smectite_beidellite_gds124
Montmorillonite,group.2um,organic_benzene+montswy
Montmorillonite,group.2um,organic_tce+montswy
Montmorillonite,group.2um,organic_toluene+montswy
Montmorillonite,group.2um,organic_trichlor+montswy
Montmorillonite,group.2um,organic_unleaded.gas+montswy
Montmorillonite,group.2um,smectite_montmorillonite_ca_swelling
Montmorillonite,group.2um,smectite_montmorillonite_fe_swelling
Montmorillonite,group.2um,smectite_montmorillonite_na_highswelling
Muscovite,group.2um,dick+musc+gyp+jar.amix
Muscovite,group.2um,sulfate-mix_gyp+jar+musc.amix
Muscovite,group.2um,alunite+musc+pyroph
Muscovite,group.2um,carbonate_calcite+0.3muscovite
Muscovite,group.2um,musc+gyp+jar+dick.amix
Muscovite,group.2um,alunite.33+kaol.33+musc.33
Muscovite,group.2um,alunite.5+musc.5
Muscovite,group.2um,kaolin.5+muscov.medAl
Muscovite,group.2um,kaolin.5+muscov.medhighAl
Muscovite,group.2um,sulfate-mix_gyp+jar+musc+dick.amix
Muscovite,group.2um,musc+jarosite.intimat
Muscovite,group.2um,micagrp_muscovite-med-Al
Muscovite,group.2um,musc+pyroph
Muscovite,group.2um,kaolin+musc.intimat
Muscovite,group.2um,muscovite+chlorite
Muscovite,group.2um,pyroph+tr.musc
Muscovite,group.2um,micagrp_muscovite-low-Al
Muscovite,group.2um,micagrp_muscovite-medhigh-Al
Muscovite,group.2um,micagrp_muscoviteFerich
Muscovite,group.2um,prehnite+muscovite
Nontronite,group.1um,fe3+_smectite_nontronite
Nontronite,group.2um,smectite_nontronite_swelling
Pyrite,group.1um,sulfide_copper_chalcopyrite
Pyrite,group.1um,sulfide_pyrite
Pyrophyllite,group.2um,kaol.75+pyroph.25
Pyrophyllite,group.2um,alunite+musc+pyroph
Pyrophyllite,group.2um,pyroph.5+mont0.5
Pyrophyllite,group.2um,musc+pyroph
Pyrophyllite,group.2um,alunite+pyrophyl
Pyrophyllite,group.2um,pyroph.5+alunit.5
Pyrophyllite,group.2um,pyroph+tr.musc
Pyrophyllite,group.2um,pyrophyllite
